Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES1044A","50297026","EL PICARRAL","SP_50297026_14_6","Ozone","-0.871110","41.670280","195.000000","m","suburban","traffic","01/03/1995 00:00:00","","SAM_50297026_14_6","3.5","m","29.0","m","10.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","detached","","6.0","","","15.0","33.0","50","20620","SPP_50297026_14_6.1","01/03/1995 00:00:00","","automatic","UV-P","","thermo49i","","","","","","ref","","1","ug.m-3","PARA 200PPB +/- 6,6","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES1047A","50297029","ROGER DE FLOR","SP_50297029_14_6","Ozone","-0.916100","41.651400","212.000000","m","urban","traffic","01/01/1991 00:00:00","","SAM_50297029_14_6","3.5","m","16.0","m","9.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","canyon","","9.0","","","30.0","27.0","30","4860","SPP_50297029_14_6.1","01/01/1991 00:00:00","","automatic","UV-P","","thermo49i","","","","","","ref","","1","ug.m-3","PARA 200 PPB +/- 7,1","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES1090A","50297032","JAIME FERRÁN","SP_50297032_14_6","Ozone","-0.864170","41.674170","196.000000","m","suburban","industrial","01/01/1995 00:00:00","","SAM_50297032_14_6","3.5","m","14.0","m","9.0","m","-999.0","m","Industrial Processes","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","open","","3.0","","","6.0","30.0","50","11505","SPP_50297032_14_6.1","01/01/1995 00:00:00","","automatic","UV-P","","thermo49","","","","","","ref","","2","ug.m-3","PARA 200 PPB +/- 6,7","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES1641A","50297036","RENOVALES","SP_50297036_14_6","Ozone","-0.893610","41.635280","220.000000","m","urban","background","01/10/2002 00:00:00","","SAM_50297036_14_6","3.5","m","51.0","m","25.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","open","","13.0","","","0.0","11.0","40","13970","SPP_50297036_14_6.1","01/10/2002 00:00:00","","automatic","UV-P","","thermo49","","","","","","ref","","2","ug.m-3","PARA 200 PPB +/- 7,0","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES1836A","50297037","LAS FUENTES","SP_50297037_14_6","Ozone","-0.861940","41.642220","198.000000","m","urban","traffic","01/01/2006 00:00:00","","SAM_50297037_14_6","3.5","m","25.0","m","14.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","detached","","25.0","","","0.0","0.0","30","8620","SPP_50297037_14_6.1","01/01/2006 00:00:00","","automatic","UV-P","","thermo49","","","","","","ref","","2","ug.m-3","PARA 200 PPB +/- 5,8","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES1837A","50297038","CENTRO","SP_50297038_14_6","Ozone","-0.883890","41.648330","210.000000","m","urban","traffic","01/01/2006 00:00:00","","SAM_50297038_14_6","3.5","m","15.0","m","6.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","canyon","","5.0","","","10.0","8.0","30","5155","SPP_50297038_14_6.1","01/01/2006 00:00:00","","automatic","UV-P","","thermo49","","","","","","ref","","2","ug.m-3","PARA 200PPB +/- 6,9","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES2064A","50297039","AVENIDA SORIA","SP_50297039_14_6","Ozone","-0.906800","41.659170","208.000000","m","suburban","traffic","01/05/2015 00:00:00","","SAM_50297039_14_6","3.5","m","13.0","m","10.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","open","","17.0","","","0.0","0.0","50","25950","SPP_50297039_14_6.1","01/05/2015 00:00:00","","automatic","UV-P","","thermo49","","","","","","ref","","2","ug.m-3","PARA 200 PPB +/- 6,9","","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES2089A","50297040","ACTUR","SP_50297040_14_6","Ozone","-0.886900","41.675200","200.000000","m","urban","background","15/03/2018 00:00:00","","SAM_50297040_14_6","3.0","m","10.0","m","5.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","","","21.0","","","0.0","0.0","10","5750","SPP_50297040_14_6.1","15/03/2018 00:00:00","","automatic","UV-P","","thermo49","","","","","","ref","","1","ug.m-3","0,1","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES021A","Ayto Zaragoza","UTC","ES2089A","50297040","ACTUR","SP_50297040_14_6","Ozone","-0.886900","41.675200","200.000000","m","urban","background","15/03/2018 00:00:00","","SAM_50297040_14_6","3.0","m","10.0","m","5.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","","","21.0","","","0.0","0.0","10","5750","SPP_50297040_14_6.2","15/03/2018 00:00:00","","automatic","UV-P","","thermo49i","","","","","","ref","","1","ug.m-3","0,1","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
"Spain","ES.BDCA.AQD","2024","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0001R","45153999","SAN PABLO DE LOS MONTES","SP_45153999_14_6","Ozone","-4.350420","39.546330","923.000000","m","rural","background","24/06/1992 00:00:00","","SAM_45153999_14_6","5.0","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","SAN PABLO DE LOS MONTES","","","0.0","","","0.0","0.0","0","0","SPP_45153999_14_6.1","24/06/1992 00:00:00","","automatic","UV-P","","unknown","","","","","","ref","","-999","ug.m-3","","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envan0xpq/ES_D_Metainfo.xml","23/10/2025 01:47:54"
